sourceName,rowData,logType,description
JKO,"Last Name                               Doe
First Name                             John
EDIPI                            1234567891
Category                        ACTIVE DUTY
Course Name     Leadership Training (4 hrs)
Completed Dt            2024-08-31 00:00:00
Due Dt                  2024-09-01 00:00:00
Name: 1, dtype: object",action,"automatically matched by id to: 
dodid                                             1234567891
email                                                       
cleanName                                            johndoe
fullName                                            John Doe
DHA Accommodations (1 hr)-JKO    =CHOOSE(1,"""",""IND_OVERDUE"")
Name: 0, dtype: object"
JKO,"Last Name                               Doe
First Name                             John
EDIPI                            1234567891
Category                        ACTIVE DUTY
Course Name     MHS Customer Service (1 hr)
Completed Dt            2024-08-31 00:00:00
Due Dt                  2024-09-01 00:00:00
Name: 2, dtype: object",action,"automatically matched by id to: 
dodid                                                        1234567891
email                                                                  
cleanName                                                       johndoe
fullName                                                       John Doe
DHA Accommodations (1 hr)-JKO               =CHOOSE(1,"""",""IND_OVERDUE"")
Leadership Training (4 hrs)-JKO    =CHOOSE(1,""2024-08-31"",""IND_ONTIME"")
Name: 0, dtype: object"
JKO,"Last Name                    Hartmann
First Name                     Andrew
EDIPI                   thisisnotanid
Category                DOD CIVILLIAN
Course Name     HIPAA Training (1 hr)
Completed Dt                      NaN
Due Dt            2030-09-01 00:00:00
Name: 4, dtype: object",ERROR,dodid not a number
JKO,"Last Name                    Hartmann
First Name                     Andrew
EDIPI                   thisisnotanid
Category                DOD CIVILLIAN
Course Name     HIPAA Training (1 hr)
Completed Dt                      NaN
Due Dt            2030-09-01 00:00:00
Name: 4, dtype: object",action,"user matched by name to: 
dodid                                                   3322111234
email                                                             
cleanName                                           andrewhartmann
fullName                                           Andrew Hartmann
DHA Accommodations (1 hr)-JKO      =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO         =CHOOSE(1,"""",""IND_OVERDUE"")
Name: 1, dtype: object"
JKO,"Last Name                                 Hartmann
First Name                                  Andrew
EDIPI                                   3322111234
Category                             DOD CIVILLIAN
Course Name     Supervisor Safety Training (2 hrs)
Completed Dt                   2024-08-30 00:00:00
Due Dt                         2024-08-01 00:00:00
Name: 5, dtype: object",action,"automatically matched by id to: 
dodid                                                   3322111234
email                                                             
cleanName                                           andrewhartmann
fullName                                           Andrew Hartmann
DHA Accommodations (1 hr)-JKO      =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO         =CHOOSE(1,"""",""IND_OVERDUE"")
HIPAA Training (1 hr)-JKO             =CHOOSE(1,"""",""IND_ASSIGNED"")
Name: 1, dtype: object"
JKO,"Last Name                     Hartmann
First Name                      Andrew
EDIPI                       3322111234
Category                 DOD CIVILLIAN
Course Name     Employee Safety (1 hr)
Completed Dt       2024-08-29 00:00:00
Due Dt             2024-08-01 00:00:00
Name: 6, dtype: object",action,"automatically matched by id to: 
dodid                                                                3322111234
email                                                                          
cleanName                                                        andrewhartmann
fullName                                                        Andrew Hartmann
DHA Accommodations (1 hr)-JKO                   =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO                      =CHOOSE(1,"""",""IND_OVERDUE"")
HIPAA Training (1 hr)-JKO                          =CHOOSE(1,"""",""IND_ASSIGNED"")
Supervisor Safety Training (2 hrs)-JKO    =CHOOSE(1,""2024-08-30"",""IND_OVERDUE"")
Name: 1, dtype: object"
JKO,"Last Name                         Fletcher
First Name                            Nick
EDIPI                                  NaN
Category                     DOD CIVILLIAN
Course Name     Counterintelligence (1 hr)
Completed Dt                thisisnotadate
Due Dt                 2024-09-01 00:00:00
Name: 7, dtype: object",ERROR,invalid complete date
JKO,"Last Name                    Fletcher
First Name                       Nick
EDIPI                             NaN
Category                DOD CIVILLIAN
Course Name     HIPAA Training (1 hr)
Completed Dt      2024-08-29 00:00:00
Due Dt            2024-09-01 00:00:00
Name: 8, dtype: object",action,"user matched by name to: 
dodid                                                                  -1
email                                                                    
cleanName                                                    nickfletcher
fullName                                                    Nick Fletcher
DHA Accommodations (1 hr)-JKO             =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO           =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO           =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO            =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Supervisor Safety Training (2 hrs)-JKO    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Employee Safety (1 hr)-JKO                =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 2, dtype: object"
JKO,"Last Name                                 Fletcher
First Name                                    Nick
EDIPI                                          NaN
Category                             DOD CIVILLIAN
Course Name     Supervisor Safety Training (2 hrs)
Completed Dt                   2024-08-29 00:00:00
Due Dt                         2024-08-01 00:00:00
Name: 9, dtype: object",action,"user matched by name to: 
dodid                                                                       -1
email                                                                         
cleanName                                                         nickfletcher
fullName                                                         Nick Fletcher
DHA Accommodations (1 hr)-JKO                  =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO                =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO                =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                 =CHOOSE(1,""2024-08-29"",""IND_ONTIME"")
Supervisor Safety Training (2 hrs)-JKO         =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Employee Safety (1 hr)-JKO                     =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 2, dtype: object"
JKO,"Last Name                     Fletcher
First Name                        Nick
EDIPI                              NaN
Category                 DOD CIVILLIAN
Course Name     Employee Safety (1 hr)
Completed Dt       2024-08-28 00:00:00
Due Dt             2024-08-01 00:00:00
Name: 10, dtype: object",action,"user matched by name to: 
dodid                                                                        -1
email                                                                          
cleanName                                                          nickfletcher
fullName                                                          Nick Fletcher
DHA Accommodations (1 hr)-JKO                   =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO                  =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                  =CHOOSE(1,""2024-08-29"",""IND_ONTIME"")
Supervisor Safety Training (2 hrs)-JKO    =CHOOSE(1,""2024-08-29"",""IND_OVERDUE"")
Employee Safety (1 hr)-JKO                      =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 2, dtype: object"
JKO,"Last Name                              Cena
First Name                             John
EDIPI                                   NaN
Category                        ACTIVE DUTY
Course Name     Leadership Training (4 hrs)
Completed Dt            2024-08-28 00:00:00
Due Dt                  2024-09-01 00:00:00
Name: 12, dtype: object",action,"user matched by name to: 
dodid                                                                       -1
email                                                                         
cleanName                                                             johncena
fullName                                                             John Cena
DHA Accommodations (1 hr)-JKO             =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
Leadership Training (4 hrs)-JKO                =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO                =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                      =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Supervisor Safety Training (2 hrs)-JKO         =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Employee Safety (1 hr)-JKO                     =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 3, dtype: object"
JKO,"Last Name                              Cena
First Name                             John
EDIPI                                   NaN
Category                        ACTIVE DUTY
Course Name     MHS Customer Service (1 hr)
Completed Dt            2024-08-28 00:00:00
Due Dt                  2024-09-01 00:00:00
Name: 13, dtype: object",action,"user matched by name to: 
dodid                                                                       -1
email                                                                         
cleanName                                                             johncena
fullName                                                             John Cena
DHA Accommodations (1 hr)-JKO             =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
Leadership Training (4 hrs)-JKO           =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
MHS Customer Service (1 hr)-JKO                =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                      =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Supervisor Safety Training (2 hrs)-JKO         =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Employee Safety (1 hr)-JKO                     =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 3, dtype: object"
JKO,"Last Name                           Cena
First Name                          John
EDIPI                                NaN
Category                     ACTIVE DUTY
Course Name     Violence Response (1 hr)
Completed Dt         2024-08-28 00:00:00
Due Dt               2024-09-01 00:00:00
Name: 14, dtype: object",action,"user matched by name to: 
dodid                                                                       -1
email                                                                         
cleanName                                                             johncena
fullName                                                             John Cena
DHA Accommodations (1 hr)-JKO             =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
Leadership Training (4 hrs)-JKO           =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
MHS Customer Service (1 hr)-JKO           =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
Counterintelligence (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                      =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Supervisor Safety Training (2 hrs)-JKO         =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Employee Safety (1 hr)-JKO                     =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 3, dtype: object"
JKO,"Last Name                  Fletcher
First Name                 Nicholas
EDIPI                    4453245321
Category                ACTIVE DUTY
Course Name            RandomCourse
Completed Dt    2000-01-01 00:00:00
Due Dt          2000-01-02 00:00:00
Name: 15, dtype: object",action,"user matched by name to: 
dodid                                                                        -1
email                                                                          
cleanName                                                          nickfletcher
fullName                                                          Nick Fletcher
DHA Accommodations (1 hr)-JKO                   =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO                  =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                  =CHOOSE(1,""2024-08-29"",""IND_ONTIME"")
Supervisor Safety Training (2 hrs)-JKO    =CHOOSE(1,""2024-08-29"",""IND_OVERDUE"")
Employee Safety (1 hr)-JKO                =CHOOSE(1,""2024-08-28"",""IND_OVERDUE"")
Violence Response (1 hr)-JKO                    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 2, dtype: object"
JKO,"Last Name                      Cena
First Name                        J
EDIPI                    5555555555
Category                ACTIVE DUTY
Course Name            RandomCourse
Completed Dt    2000-01-01 00:00:00
Due Dt          1999-01-01 00:00:00
Name: 16, dtype: object",action,"user matched by name to: 
dodid                                                                       -1
email                                                                         
cleanName                                                             johncena
fullName                                                             John Cena
DHA Accommodations (1 hr)-JKO             =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
Leadership Training (4 hrs)-JKO           =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
MHS Customer Service (1 hr)-JKO           =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
Counterintelligence (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                      =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Supervisor Safety Training (2 hrs)-JKO         =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Employee Safety (1 hr)-JKO                     =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Violence Response (1 hr)-JKO              =CHOOSE(1,""2024-08-28"",""IND_ONTIME"")
RandomCourse-JKO                               =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 3, dtype: object"
myLearning,"Edipi                       4453245321
Rank                               NaN
First Name                    Nicholas
Last Name                     Fletcher
Majcont                            NaN
Unit                               NaN
Email                      n@gmail.com
Course Name                   Survival
Enrollment Date    2022-10-02 00:00:00
Grade                              NaN
Date Completed     2022-10-30 00:00:00
Complete                           NaN
Name: 0, dtype: object",action,"automatically matched by id to: 
dodid                                                                4453245321
email                                                                          
cleanName                                                          nickfletcher
fullName                                                          Nick Fletcher
DHA Accommodations (1 hr)-JKO                   =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO                  =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                  =CHOOSE(1,""2024-08-29"",""IND_ONTIME"")
Supervisor Safety Training (2 hrs)-JKO    =CHOOSE(1,""2024-08-29"",""IND_OVERDUE"")
Employee Safety (1 hr)-JKO                =CHOOSE(1,""2024-08-28"",""IND_OVERDUE"")
Violence Response (1 hr)-JKO                    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
RandomCourse-JKO                           =CHOOSE(1,""2000-01-01"",""IND_ONTIME"")
Name: 2, dtype: object"
myLearning,"Edipi                                3
Rank                               NaN
First Name                       David
Last Name                          Dun
Majcont                            NaN
Unit                               NaN
Email                                 
Course Name                Electronics
Enrollment Date    2024-12-25 00:00:00
Grade                              NaN
Date Completed               5/40/2024
Complete                           NaN
Name: 3, dtype: object",ERROR,invalid complete date
myLearning,"Edipi                               55
Rank                               NaN
First Name                       Emily
Last Name                       Donald
Majcont                            NaN
Unit                               NaN
Email                                 
Course Name           RandomCourseName
Enrollment Date    2024-12-24 00:00:00
Grade                              NaN
Date Completed                12//2024
Complete                           NaN
Name: 4, dtype: object",ERROR,invalid complete date
myLearning,"Edipi                                1
Rank                               NaN
First Name                       Sally
Last Name                        Smith
Majcont                            NaN
Unit                               NaN
Email                                 
Course Name                     Flying
Enrollment Date    2020-02-02 00:00:00
Grade                              NaN
Date Completed                     NaN
Complete                           NaN
Name: 10, dtype: object",action,"automatically matched by id to: 
dodid                                                                   1
email                                                                    
cleanName                                                      sallysmith
fullName                                                      Sally Smith
DHA Accommodations (1 hr)-JKO             =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO           =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO           =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO            =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Supervisor Safety Training (2 hrs)-JKO    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Employee Safety (1 hr)-JKO                =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Violence Response (1 hr)-JKO              =CHOOSE(1,"""",""IND_NOTASSIGNED"")
RandomCourse-JKO                          =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Survival-myLearning                       =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Swimming-myLearning                           =CHOOSE(1,"""",""IND_OVERDUE"")
Flying-myLearning                         =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Electronics-myLearning                    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
RandomCourseName-myLearning               =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Cooking-myLearning                        =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Navigation-myLearning                     =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 4, dtype: object"
myLearning,"Edipi                                1
Rank                               NaN
First Name                       Sally
Last Name                        Smith
Majcont                            NaN
Unit                               NaN
Email                                 
Course Name                   Survival
Enrollment Date    2020-07-07 00:00:00
Grade                              NaN
Date Completed     2020-09-01 00:00:00
Complete                           NaN
Name: 11, dtype: object",action,"automatically matched by id to: 
dodid                                                                   1
email                                                                    
cleanName                                                      sallysmith
fullName                                                      Sally Smith
DHA Accommodations (1 hr)-JKO             =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO           =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO           =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO            =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Supervisor Safety Training (2 hrs)-JKO    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Employee Safety (1 hr)-JKO                =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Violence Response (1 hr)-JKO              =CHOOSE(1,"""",""IND_NOTASSIGNED"")
RandomCourse-JKO                          =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Survival-myLearning                       =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Swimming-myLearning                           =CHOOSE(1,"""",""IND_OVERDUE"")
Flying-myLearning                             =CHOOSE(1,"""",""IND_OVERDUE"")
Electronics-myLearning                    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
RandomCourseName-myLearning               =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Cooking-myLearning                        =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Navigation-myLearning                     =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 4, dtype: object"
myLearning,"Edipi                                1
Rank                               NaN
First Name                       Sally
Last Name                        Smith
Majcont                            NaN
Unit                               NaN
Email                                 
Course Name                    Cooking
Enrollment Date    2024-10-12 00:00:00
Grade                              NaN
Date Completed     2024-10-15 00:00:00
Complete                           NaN
Name: 12, dtype: object",action,"automatically matched by id to: 
dodid                                                                         1
email                                                                          
cleanName                                                            sallysmith
fullName                                                            Sally Smith
DHA Accommodations (1 hr)-JKO                   =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Leadership Training (4 hrs)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
MHS Customer Service (1 hr)-JKO                 =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Counterintelligence (1 hr)-JKO                  =CHOOSE(1,"""",""IND_NOTASSIGNED"")
HIPAA Training (1 hr)-JKO                       =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Supervisor Safety Training (2 hrs)-JKO          =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Employee Safety (1 hr)-JKO                      =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Violence Response (1 hr)-JKO                    =CHOOSE(1,"""",""IND_NOTASSIGNED"")
RandomCourse-JKO                                =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Survival-myLearning                       =CHOOSE(1,""2020-09-01"",""IND_OVERDUE"")
Swimming-myLearning                                 =CHOOSE(1,"""",""IND_OVERDUE"")
Flying-myLearning                                   =CHOOSE(1,"""",""IND_OVERDUE"")
Electronics-myLearning                          =CHOOSE(1,"""",""IND_NOTASSIGNED"")
RandomCourseName-myLearning                     =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Cooking-myLearning                              =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Navigation-myLearning                           =CHOOSE(1,"""",""IND_NOTASSIGNED"")
Name: 4, dtype: object"
